DBN,name,year,total_enrollment,female_num,male_num,asian_num,black_num,white_num,hispanic_num
31R861,staten island school of civic leadership,2015,855,422,433,100,183,202,343
25Q252,the queens school of inquiry,2008,242,121,121,108,34,37,62
31R049,i.s. 49 berta a. dreyfus,2014,795,372,423,91,281,103,314
11X265,bronx lab school,2017,415,164,251,11,179,11,208
31R026,p.s. 026 the carteret school,2017,242,133,109,25,5,130,78
29Q192,i.s. 192 the linden,2014,528,250,278,7,486,6,26
18K068,i.s. 068 isaac bildersee,2016,464,208,256,4,416,14,25
19K149,ps 149 danny kaye,2011,788,406,382,11,538,5,231
30Q280,p.s. 280,2017,723,344,379,51,8,8,650
25Q525,townsend harris high school,2018,1141,801,340,662,59,231,123
10X008,ps 008 issac varian,2008,1157,582,575,85,160,92,808
19K502,fdny - captain vernon a. richard high school for f,2015,324,77,247,4,233,5,79
22K222,p.s. 222 katherine r. snyder,2014,865,420,445,178,133,393,144
31R018,ps 018 john g whittier,2008,541,255,286,6,258,24,247
11X083,p.s. 083 donald hertz,2016,1721,868,853,166,150,549,844
31R050,ps 050 frank hankinson,2007,544,255,289,35,14,436,56
29Q496,business computer applications & entrepreneurshi,2011,364,110,254,22,307,5,19
02M565,urban academy laboratory high school,2009,147,90,57,3,52,43,41
30Q212,ps 212,2008,737,396,341,112,17,73,535
84X380,success academy charter school - bronx 3,2018,515,248,267,3,272,2,226
05M286,is 286 renaissance mil/ldrshp,2009,206,99,107,3,108,0,94
02M500,unity center for urban technologies,2006,203,107,96,3,98,3,96
27Q183,ps 183 dr. richard r. green,2008,659,341,318,35,433,24,151
30Q127,p.s. 127 aerospace science magnet school,2014,1462,719,743,178,204,16,1058
11X542,pelham preparatory academy,2008,460,260,200,20,195,22,188
11X513,new world high school,2011,368,194,174,45,59,9,253
21K177,p.s. 177 the marlboro,2014,952,481,471,254,8,378,292
01M292,orchard collegiate academy,2016,185,68,117,22,49,6,106
09X303,i.s. x303 leadership & community service,2014,325,157,168,0,78,2,245
84X389,bronx global learning institute for girls charter,2014,347,347,0,7,101,3,228
04M610,young women's leadership school,2017,482,482,0,43,115,20,292
04M083,p.s. 083 luis munoz rivera,2014,460,220,240,50,106,15,283
28Q328,high school for community leadership,2017,476,228,248,118,176,26,119
24Q296,pan american international high school,2017,498,239,259,0,0,0,497
14K610,automotive high school,2017,337,17,320,12,165,10,143
20K185,ps 185 walter kassenbrock,2008,793,368,425,125,5,556,107
30Q171,p.s. 171 peter g. van alst,2018,503,249,254,93,137,31,232
31R036,p.s. 036 j. c. drumgoole,2016,920,458,462,52,2,744,107
01M361,children's workshop school,2008,258,134,124,34,30,102,81
20K204,ps 204 vince lombardi,2006,1007,470,537,326,10,565,101
12X521,the metropolitan soundview high school,2017,423,199,224,14,109,8,287
25Q169,p.s. 169 bay terrace,2016,423,202,221,144,19,168,86
10X094,ps 094 kings college school,2009,930,464,466,134,211,21,546
